number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_label_smoothing,params_lr,params_n_layers,params_weight_decay,state
0,0.4615274552934947,2025-11-07 17:26:39.015504,2025-11-07 17:53:26.693038,0 days 00:26:47.677534,16,512,0.35403628889802274,0.004116898859160489,0.03751655787285152,14,0.09507147992668522,COMPLETE
1,0.5430364894319201,2025-11-07 17:53:26.693294,2025-11-07 17:56:18.544038,0 days 00:02:51.850744,64,128,0.22803499210851796,0.15703519227860274,0.01842211053435804,8,0.030424920053710815,COMPLETE
2,0.5233142842759254,2025-11-07 17:56:18.544355,2025-11-07 17:59:01.079644,0 days 00:02:42.535289,64,64,0.22007624686980065,0.024407646968955768,0.0607937307049537,14,0.017053241844605466,COMPLETE
3,0.5357577374337686,2025-11-07 17:59:01.079922,2025-11-07 18:04:41.884756,0 days 00:05:40.804834,128,128,0.29894998940554257,0.18437484700462337,0.0662859762069628,18,0.03117179589786501,COMPLETE
4,0.4583485329396777,2025-11-07 18:04:41.884999,2025-11-07 18:05:01.189570,0 days 00:00:19.304571,64,16,0.49344346830025865,0.1544489538593315,0.038928861239979254,2,0.02713563182835782,COMPLETE
5,0.37780260707635005,2025-11-07 18:05:01.189819,2025-11-07 18:05:12.059601,0 days 00:00:10.869782,64,128,0.1554911608578311,0.06503666440534941,0.07292781608729464,2,0.0771272633982479,PRUNED
6,0.5138091918201702,2025-11-07 18:05:12.059735,2025-11-07 18:05:41.698506,0 days 00:00:29.638771,128,64,0.053945713496652226,0.006285837137346851,0.01204746516923634,2,0.07132476547751228,COMPLETE
7,,2025-11-07 18:05:41.698730,2025-11-07 18:05:42.337490,0 days 00:00:00.638760,64,512,0.31670187825521173,0.17429211803754355,0.025004293691972608,18,0.04103888192063994,PRUNED
8,0.33142223583818403,2025-11-07 18:05:42.337632,2025-11-07 18:06:09.834388,0 days 00:00:27.496756,128,512,0.25537365128878287,0.08348220062975581,0.08076327150088985,2,0.0896092339010494,PRUNED
9,0.3602392448264448,2025-11-07 18:06:09.834511,2025-11-07 18:06:38.212333,0 days 00:00:28.377822,16,64,0.1424202471887338,0.007377389470906559,0.03238797290887345,8,0.05187954338371487,PRUNED
10,0.3804738336778157,2025-11-07 18:06:38.212462,2025-11-07 18:07:21.919374,0 days 00:00:43.706912,32,256,0.4428281667388994,0.13128503512862685,0.0024011488077469167,8,0.0006007122983987603,PRUNED
11,,2025-11-07 18:07:21.919936,2025-11-07 18:07:22.966120,0 days 00:00:01.046184,128,128,0.3485779491700472,0.19362789500734523,0.09308362411890903,20,0.0446658409187169,PRUNED
12,0.39131731232669204,2025-11-07 18:07:22.966309,2025-11-07 18:08:03.411786,0 days 00:00:40.445477,32,128,0.2560342229357559,0.12917128814064824,0.048241443333366635,8,0.024631266823957932,PRUNED
13,0.5031442883120095,2025-11-07 18:08:03.411916,2025-11-07 18:09:24.121282,0 days 00:01:20.709366,128,32,0.01679294246723606,0.19807089592115834,0.05476408531439634,12,0.008842159388995689,COMPLETE
14,0.4421282456478363,2025-11-07 18:09:24.121567,2025-11-07 18:10:44.010149,0 days 00:01:19.888582,64,128,0.17765871977747655,0.14794927716006184,0.018834509880193397,16,0.034260230726887636,PRUNED
15,0.39532387413877484,2025-11-07 18:10:44.010277,2025-11-07 18:11:13.904312,0 days 00:00:29.894035,128,128,0.09796449427592266,0.10458725747995246,0.06858191035208053,6,0.05737493065233042,PRUNED
16,0.29471724844757946,2025-11-07 18:11:13.904437,2025-11-07 18:13:23.822126,0 days 00:02:09.917689,16,256,0.29812509436470247,0.16914794897742333,0.09351528580609403,20,0.06295440834813305,PRUNED
17,0.3732702276312824,2025-11-07 18:13:23.822260,2025-11-07 18:13:41.445841,0 days 00:00:17.623581,32,32,0.37447755297030755,0.1731960461440574,0.0449099508833186,10,0.032048300559204115,PRUNED
18,0.38508749013347815,2025-11-07 18:13:41.445973,2025-11-07 18:13:48.110216,0 days 00:00:06.664243,64,16,0.4059444383042011,0.1119231786193567,0.002380231692745663,6,0.01710184493308602,PRUNED
19,0.31820454677597537,2025-11-07 18:13:48.110348,2025-11-07 18:14:16.799621,0 days 00:00:28.689273,128,128,0.20981273349416207,0.06549811752856421,0.060004120357520445,12,0.04246669959008556,PRUNED
20,0.3734577343439848,2025-11-07 18:14:16.799740,2025-11-07 18:14:54.608699,0 days 00:00:37.808959,128,128,0.28963194170843426,0.13943734211048556,0.08204943110462062,16,0.017509328972890308,PRUNED
21,0.5120446473871131,2025-11-07 18:14:54.608817,2025-11-07 18:17:59.231752,0 days 00:03:04.622935,64,64,0.20203589334045313,0.04529976027103934,0.06375767278707026,16,0.015706153270558784,COMPLETE
22,0.5283983345315121,2025-11-07 18:17:59.231967,2025-11-07 18:20:41.918337,0 days 00:02:42.686370,64,64,0.23050633880896487,0.04816382806963411,0.05365473081403815,14,0.006313861014055608,COMPLETE
23,0.5179984408974673,2025-11-07 18:20:41.918613,2025-11-07 18:24:07.279100,0 days 00:03:25.360487,64,64,0.12003924643686859,0.08579782338954911,0.05182995702776927,18,0.0022263719621229937,COMPLETE
24,0.3606359649122807,2025-11-07 18:24:07.279489,2025-11-07 18:24:54.092635,0 days 00:00:46.813146,64,128,0.2533757937285246,0.18204233564490566,0.07725170931289364,14,0.035304643892334016,PRUNED
25,0.37439153439153433,2025-11-07 18:24:54.092758,2025-11-07 18:25:05.942418,0 days 00:00:11.849660,64,16,0.3085270512487465,0.15913557588056831,0.028092957627298472,10,0.02518213773331256,PRUNED
26,0.5103933821039084,2025-11-07 18:25:05.942587,2025-11-07 18:39:02.783462,0 days 00:13:56.840875,32,256,0.22357236193300173,0.11551829330773904,0.041516382482849015,18,0.00785860376477164,COMPLETE
27,0.5350968999400691,2025-11-07 18:39:02.783776,2025-11-07 18:40:15.543319,0 days 00:01:12.759543,16,32,0.27526368874199025,0.03136823541493884,0.014854824123851557,6,0.009531870809216806,COMPLETE
28,0.3419240978967941,2025-11-07 18:40:15.543577,2025-11-07 18:40:27.749675,0 days 00:00:12.206098,16,32,0.2830490167548362,0.0947659635898671,0.013176679585223942,4,0.049012574474567513,PRUNED
29,0.3715844568976678,2025-11-07 18:40:27.749810,2025-11-07 18:40:39.590862,0 days 00:00:11.841052,16,32,0.3542166740329409,0.1830371180938543,0.01230845601051584,4,0.0304883878848601,PRUNED
